Municipality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Anmore,0,0,0,0,0,0,0,6,1,5,4,0,2,2
Belcarra,3,0,4,0,0,1,4,1,2,1,1,1,4,0
Bowen Island,3,5,2,1,5,2,0,0,1,3,4,7,4,9
Burnaby,297,297,325,295,205,341,390,434,419,556,481,781,525,468
Coquitlam,72,72,90,90,51,77,105,154,111,45,113,60,102,216
Delta,29,35,55,67,73,53,63,94,97,99,131,161,175,164
"UBC, UEL",0,0,0,0,0,0,0,0,0,0,0,5,4,8
Langley City,25,71,7,13,5,12,10,3,12,10,16,61,36,181
Langley Township,77,91,78,109,71,59,79,83,73,79,115,125,129,49
Lions Bay,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Maple Ridge,40,39,49,54,91,24,59,60,41,44,62,131,61,56
New Westminster,26,37,46,29,28,43,101,106,46,70,68,57,54,60
North Vancouver City,153,71,45,45,68,63,55,112,35,58,84,69,154,78
North Vancouver District,56,78,93,70,69,84,74,109,127,152,154,165,111,133
Pitt Meadows,11,5,11,10,3,5,8,6,8,8,2,14,10,47
Port Coquitlam,40,114,39,41,13,48,24,27,26,38,35,31,45,84
Port Moody,14,4,1,0,6,1,4,3,5,8,12,18,15,49
Richmond,323,303,309,309,234,294,86,184,60,203,450,509,388,148
Surrey,577,477,674,393,256,390,475,453,432,464,506,604,637,721
Vancouver,827,851,836,758,897,826,954,1034,606,813,1030,886,1291,1068
West Vancouver,61,82,164,86,47,83,97,116,121,99,124,165,101,73
White Rock,34,15,0,16,25,34,38,29,52,68,52,49,60,56
Metro Vancouver,2668,2647,2828,2387,2148,2440,2626,3014,2275,2823,3444,3894,3904,3662
