"","School District","Year","Gender","5 - 17","Total"
"39","Vancouver","1986","T","55388","459309"
"39","Vancouver","1987","T","55610","463483"
"39","Vancouver","1988","T","56726","470690"
"39","Vancouver","1989","T","57362","478247"
"39","Vancouver","1990","T","57821","483989"
"39","Vancouver","1991","T","58922","491784"
"39","Vancouver","1992","T","60601","501045"
"39","Vancouver","1993","T","61266","506382"
"39","Vancouver","1994","T","62603","517976"
"39","Vancouver","1995","T","63324","529936"
"39","Vancouver","1996","T","65141","545123"
"39","Vancouver","1997","T","65670","554340"
"39","Vancouver","1998","T","65714","560268"
"39","Vancouver","1999","T","65666","566555"
"39","Vancouver","2000","T","66037","572619"
"39","Vancouver","2001","T","66797","581130"
"39","Vancouver","2002","T","68854","587012"
"39","Vancouver","2003","T","68494","593051"
"39","Vancouver","2004","T","67951","598387"
"39","Vancouver","2005","T","68020","604207"
"39","Vancouver","2006","T","68153","612456"
"39","Vancouver","2007","T","66868","620146"
"39","Vancouver","2008","T","65884","619560"
"39","Vancouver","2009","T","65742","624301"
"39","Vancouver","2010","T","66477","631789"
"39","Vancouver","2011","T","65555","634999"
"39","Vancouver","2012","T","66491","646782"
"39","Vancouver","2013","T","66910","655838"
"39","Vancouver","2014","T","67410","665388"
"39","Vancouver","2015","T","65917","670252"
"39","Vancouver","2016","T","66041","679567"
"39","Vancouver","2017","T","64343","685113"
"39","Vancouver","2018","T","63350","692228"
